pred	count
판매하다	233
떠오르다	233
지켜보다	233
웃다	233
앉다	232
구성하다	231
중단하다	231
일다	230
이어지다	229
심하다	229
허용하다	228
취하다	226
포기하다	225
감안하다	225
선정되다	223
노력하다	221
관련되다	220
근무하다	220
벌리다	220
내주다	218
넓다	218
강력하다	217
변하다	217
넘어서다	216
낳다	216
노리다	216
빌리다	215
예상하다	215
통과하다	215
태어나다	215
감소하다	215
계속되다	214
공개되다	213
뛰어나다	211
대응하다	209
담당하다	209
규정하다	208
마시다	208
유명하다	207
시도하다	206
구하다	206
실패하다	205
집중하다	205
잇따르다	205
진출하다	204
출연하다	203
다하다	203
잘하다	202
약속하다	202
공급하다	200
시행하다	199
터뜨리다	199
유일하다	199
관리하다	199
돌다	198
발견하다	198
이해하다	196
가리다	195
성장하다	195
무너지다	195
어리다	194
머물다	194
여기다	193
해당하다	192
길다	191
숨다	191
찾아가다	190
의미	190
더하다	190
호소하다	189
표현하다	189
설립하다	188
찾아오다	188
전망되다	188
가입하다	187
흐르다	186
뜨다	186
우승하다	185
전환하다	185
적용되다	183
도착하다	183
지시하다	182
투입하다	181
시달리다	180
인정받다	180
생산하다	178
불가능하다	178
쉬다	178
전망하다	177
견주다	177
확정하다	175
유리하다	175
마련되다	175
가르치다	175
비싸다	175
치열하다	174
꺾다	174
끊다	173
짧다	172
따지다	172
개선하다	171
낫다	170
멈추다	169
추정되다	169
벌다	168
이야기하다	168
설치되다	167
안다	167
바라보다	166
합치다	166
부인하다	166
신고하다	166
확정되다	166
고민하다	165
상승하다	165
외치다	163
나쁘다	162
기울다	162
밟다	162
압박하다	162
특별하다	162
아름답다	160
버리다	160
겨냥하다	160
출발하다	160
뒤지다	160
확산되다	160
조성하다	160
기소되다	159
구축하다	159
사용되다	159
제작하다	158
띄다	158
내걸다	157
체결하다	157
배치하다	157
수행하다	156
구입하다	153
지지하다	153
뜻하다	153
졸업하다	152
개최하다	152
사망하다	152
오가다	152
추구하다	151
책임지다	151
인수하다	150
보고하다	150
밀리다	150
뜨겁다	150
결정되다	149
반박하다	148
급증하다	148
펴다	148
끌어올리다	148
꾸리다	148
올라오다	148
좁다	148
충분하다	147
추천하다	147
저지르다	147
늦다	146
싸다	146
건네다	146
행사하다	146
물러나다	146
주문하다	146
끼치다	145
작성하다	145
불거지다	144
보장하다	144
적절하다	143
멀다	142
주목하다	142
꺼내다	141
놓치다	141
가져오다	141
선고하다	140
퍼지다	140
약하다	140
누리다	140
예정되다	139
내다보다	139
정확하다	139
기여하다	139
제한하다	139
고르다	139
연결하다	138
반영되다	138
공부하다	138
속하다	138
대표하다	138
미루다	138
동원하다	137
누르다	137
도전하다	137
취소하다	137
꼽히다	136
발표되다	136
정리하다	136
수용하다	136
처하다	136
상당하다	136
잇달다	136
쏘다	136
출시하다	135
불가피하다	134
조정하다	134
가르다	134
머무르다	134
넘치다	133
풀이되다	133
연결되다	133
깔다	133
금지하다	133
행복하다	133
공유하다	132
놀라다	132
해명하다	131
조사되다	131
흘리다	131
작용하다	131
동의하다	130
함께하다	130
시키다	130
사랑하다	130
지니다	129
도입되다	129
승리하다	129
때리다	129
다가오다	129
계속하다	129
늘리다	129
살펴보다	128
꾸미다	127
넘어가다	127
거론되다	127
무시하다	127
선발하다	127
달성하다	126
통과시키다	125
통보하다	125
극복하다	124
붙잡다	124
이동하다	124
점검하다	124
합류하다	124
아프다	123
확대되다	123
개입하다	123
고치다	123
하락하다	122
밝다	122
시행되다	121
거론하다	121
꿈꾸다	120
항의하다	120
엇갈리다	120
부여하다	119
뛰어들다	119
출마하다	119
기부하다	119
지속되다	118
운영되다	118
번지다	118
날리다	118
기소하다	118
종합하다	118
배제하다	117
떼다	117
인용하다	117
이루어지다	117
뒤집다	117
연구하다	117
쏠리다	117
수많다	117
착수하다	117
지정하다	117
견디다	117
접근하다	117
접하다	117
경고하다	116
싸우다	116
내려가다	115
잊다	115
가하다	115
부담하다	115
설득하다	115
존재하다	115
떠올리다	115
묶다	114
찾아보다	114
청구하다	113
깎다	113
복귀하다	113
협의하다	113
조언하다	112
채용하다	112
화려하다	112
중단되다	111
보호하다	111
앓다	110
앞장서다	110
출범하다	110
분명하다	110
공격하다	110
임명하다	110
수사하다	110
회복하다	109
분류되다	109
다치다	109
택하다	109
유도하다	109
투입되다	109
겹치다	108
갚다	108
짜다	108
비난하다	108
자랑하다	108
경험하다	107
적발되다	107
마무리하다	107
채택하다	107
그렇다	107
않다	107
당선되다	107
비다	106
아끼다	106
예고하다	106
불다	106
위협하다	106
임명되다	106
바람직하다	106
취임하다	105
추진되다	105
말다	105
어떻다	105
감추다	105
추가하다	104
펴내다	104
차단하다	104
물다	104
섞다	104
개선되다	103
주목되다	103
설립되다	103
엄청나다	103
찾아내다	103
털어놓다	103
표시하다	103
활약하다	102
발휘하다	102
불안하다	102
해석하다	102
지정되다	102
당부하다	102
의존하다	102
그만두다	102
관여하다	102
노출되다	102
과도하다	102
쥐다	102
협력하다	101
진입하다	101
개정하다	101
사퇴하다	101
제치다	101
연기하다	101
아쉽다	101
민감하다	101
버티다	101
닫다	101
마무리되다	100
드러내다	100
뚫다	100
폐지하다	100
배치되다	100
주고받다	99
찬성하다	99
의하다	99
집중되다	99
심다	99
연장하다	99
연계하다	98
많아지다	98
울다	98
내비치다	98
다지다	98
악화되다	97
돌파하다	97
의뢰하다	97
알아보다	97
위반하다	97
알리다	97
도와주다	96
돌아서다	96
부과하다	96
똑같다	96
주최하다	96
자유롭다	96
집계되다	96
강화되다	95
예측하다	95
분석되다	95
구속되다	95
따뜻하다	95
훔치다	95
쏟아지다	94
의식하다	94
나아가다	94
치솟다	94
통과되다	94
뿌리다	93
인정되다	93
위치하다	93
잘못된	93
복잡하다	93
휩쓸다	93
우수하다	93
비롯하다	93
포함시키다	93
단순하다	92
거세다	92
벗다	92
대다	92
뚜렷하다	92
동참하다	92
커지다	92
울리다	92
귀국하다	92
대처하다	91
매입하다	91
기억하다	91
유치하다	91
불편하다	91
막대하다	91
맡기다	91
철저하다	91
살피다	91
편하다	90
잡히다	90
사들이다	90
활발하다	90
무산되다	90
뛰어넘다	90
무겁다	90
출석하다	90
풍부하다	89
고발하다	89
수상하다	89
발의하다	89
지나치다	89
실시되다	89
차리다	89
응하다	87
자극하다	87
건설하다	87
피우다	87
발사하다	87
걱정하다	87
공감하다	87
우려되다	87
체포되다	87
내려오다	87
완화하다	86
영입하다	86
경쟁하다	86
조성되다	86
위험하다	86
밝혀지다	86
제외되다	86
자라다	85
존중하다	85
주력하다	85
결혼하다	85
들여다보다	85
이렇다	85
가난하다	85
지나가다	85
부탁하다	84
매기다	84
초청하다	84
추정하다	84
발굴하다	84
안전하다	83
불리하다	83
어울리다	83
접다	83
품다	83
소화하다	83
장악하다	83
발행하다	83
사과하다	82
건강하다	82
침해하다	81
확실하다	81
해석되다	81
중시하다	81
합격하다	81
닿다	80
뽑히다	80
신설하다	80
권하다	80
기르다	80
이행하다	79
앞당기다	79
유력하다	79
의심하다	79
바쁘다	79
틀다	79
발전하다	79
힘입다	79
진정하다	79
구분하다	79
연주하다	79
익숙하다	79
최소화하다	78
추락하다	78
짚다	78
입학하다	78
강행하다	78
형성되다	78
돌려주다	78
다투다	78
구매하다	78
접촉하다	77
드물다	77
촬영하다	77
닮다	77
살아나다	77
인식하다	77
끊기다	77
무관하다	77
되찾다	77
남기다	76
명확하다	76
표명하다	76
시급하다	76
올라서다	76
새기다	76
바뀌다	76
부진하다	76
가볍다	76
평범하다	76
등판하다	76
입수하다	76
총괄하다	76
공정하다	76
살해하다	76
진술하다	76
돌보다	75
표하다	75
모색하다	75
보관하다	75
거듭하다	75
탈출하다	75
고용하다	75
탄생하다	75
비추다	75
떨다	75
부리다	75
다녀오다	75
덜다	75
추적하다	75
판결하다	74
선호하다	74
안되다	74
간단하다	74
거주하다	74
제거하다	74
무섭다	74
지휘하다	74
무리하다	74
실천하다	73
부담스럽다	73
드리다	73
등록하다	73
오래되다	73
보태다	73
자르다	73
거대하다	73
유사하다	72
삭제하다	72
분양하다	72
가져가다	72
시사하다	72
데려오다	72
유지되다	72
낡다	72
부당하다	71
본격화하다	71
동일하다	71
반복하다	71
들려주다	71
통합하다	71
해소하다	71
부적절하다	71
불참하다	71
처벌하다	71
데리다	71
굳다	70
독특하다	70
초래하다	70
수출하다	70
매각하다	70
인상하다	70
어기다	70
입증하다	69
옳다	69
불러일으키다	69
이전하다	69
개막하다	69
잘되다	69
충돌하다	68
부드럽다	68
파견하다	68
반하다	68
자제하다	68
지우다	68
맞붙다	68
설계하다	68
치료하다	68
의미하다	68
속다	68
내보내다	68
만만하다	67
늦추다	67
의결하다	67
잦다	67
끊이다	67
깨닫다	67
만족하다	67
소유하다	67
불투명하다	67
금지되다	67
기념하다	67
켜다	67
변경하다	67
발전시키다	67
체포하다	67
자다	67
튀다	67
수정하다	67
방한하다	66
홍보하다	66
높아지다	66
탈락하다	66
확장하다	66
달라지다	66
돋보이다	66
외면하다	66
대신하다	66
작동하다	66
구속하다	66
매달다	66
메우다	65
계산하다	65
편성하다	65
훼손하다	65
긋다	65
빛나다	65
지르다	65
제한되다	65
연출하다	65
끼다	65
비치다	65
낯설다	65
올바르다	65
두드러지다	65
빼돌리다	65
입사하다	65
전공하다	65
형성하다	65
공략하다	64
권고하다	64
선포하다	64
어둡다	64
밀다	64
저렴하다	64
살아남다	64
패하다	64
보완하다	64
당연하다	64
꺼리다	64
옮기다	64
출시되다	64
빠져나가다	64
내밀다	64
교체하다	63
엄격하다	63
주관하다	63
대체하다	63
입주하다	63
안타깝다	63
휘두르다	63
별다르다	63
기대되다	63
붓다	63
유발하다	63
협조하다	62
붉다	62
처리되다	62
마감하다	62
거절하다	62
덮다	62
싫다	62
털다	62
가동하다	62
놀다	62
개발되다	62
모집하다	61
취약하다	61
수집하다	61
전달되다	61
과시하다	61
다가가다	61
극심하다	61
완벽하다	61
응답하다	61
논의되다	61
창출하다	61
데뷔하다	61
잡아내다	61
바로잡다	61
철회하다	60
돌아보다	60
못지않다	60
내려놓다	60
가두다	60
놀랍다	60
건의하다	60
고수하다	60
돌아다니다	60
선출되다	60
소개되다	60
두렵다	60
장착하다	59
감당하다	59
판매되다	59
생활하다	59
뒷받침하다	59
통제하다	59
분류하다	59
육성하다	59
상징하다	59
조작하다	59
접수되다	59
진단하다	59
연루되다	59
명시하다	59
복원하다	59
실현하다	58
계획하다	58
씻다	58
모시다	58
절실하다	58
재직하다	58
회복되다	58
활용되다	58
취소되다	58
이상하다	58
들르다	58
가득하다	58
해결되다	58
희망하다	57
지목하다	57
예방하다	57
꾸다	57
비하다	57
괜찮다	57
손잡다	57
중대하다	57
같이하다	57
개봉하다	57
눕다	57
도달하다	57
임하다	57
답변하다	57
밀어붙이다	57
기획하다	57
궁금하다	57
맑다	57
접어들다	56
직면하다	56
완성하다	56
수입하다	56
찍히다	56
닦다	56
재개하다	56
편안하다	56
대화하다	56
물어보다	56
부딪히다	56
보장되다	56
감수하다	56
지배하다	56
환영하다	56
짙다	56
지치다	56
엮다	56
출간되다	55
파괴하다	55
전시되다	55
상정하다	55
다짐하다	55
살아가다	55
전락하다	55
애쓰다	55
즐겁다	55
급등하다	55
얽다	55
감싸다	55
평가받다	55
멋지다	55
탄탄하다	54
적합하다	54
말리다	54
설정하다	54
결합하다	54
띄우다	54
부상하다	54
주목받다	54
응원하다	54
끌어들이다	54
배출하다	54
소중하다	54
추다	54
추가되다	54
수립하다	53
기리다	53
착하다	53
유출되다	53
병행하다	53
감염되다	53
몰아주다	53
제작되다	53
불러오다	53
훌륭하다	53
폐지되다	53
나빠지다	53
성사되다	53
강요하다	53
진학하다	53
기록되다	53
추산되다	53
끓다	53
변신하다	53
출동하다	53
쓰러지다	53
띠다	52
육박하다	52
돌입하다	52
검다	52
승인하다	52
마땅하다	52
길어지다	52
안정되다	52
모자라다	52
승진하다	52
웃돌다	52
견제하다	52
반복되다	52
파면되다	52
괴롭다	52
불필요하다	52
동행하다	52
흔하다	52
증명하다	51
두드리다	51
해당되다	51
결심하다	51
구현하다	51
서두르다	51
힘쓰다	51
꼬집다	51
충실하다	51
공연하다	51
위대하다	51
묘사하다	51
초과하다	51
억울하다	51
폭로하다	51
따내다	51
입력하다	51
면하다	50
독려하다	50
가라앉다	50
해내다	50
훼손되다	50
조절하다	50
방해하다	50
등록되다	50
흥미롭다	50
대단하다	50
건너다	49
사로잡다	49
표방하다	49
개설하다	49
날아가다	49
증언하다	49
자연스럽다	49
흘러나오다	49
과감하다	49
여전하다	49
채취	49
확고하다	49
소환하다	49
선물하다	49
따라가다	49
절감하다	49
입건하다	49
퍼붓다	49
탑재하다	49
부정하다	49
검출되다	49
관하다	49
맞물다	49
계약하다	49
합하다	48
묶이다	48
포착하다	48
은퇴하다	48
뽑아내다	48
지적되다	48
파견되다	48
밝혀내다	48
다름없다	48
익히다	48
맛보다	48
주재하다	48
전시하다	48
박다	48
활성화하다	48
재미있다	48
취재하다	48
지목되다	48
정비하다	48
채택되다	48
측정하다	48
배려하다	47
끌어내다	47
완성되다	47
기쁘다	47
체험하다	47
대변하다	47
올려놓다	47
분리하다	47
긴장하다	47
부풀리다	47
풀어내다	47
고맙다	47
당기다	47
지명하다	47
어긋나다	47
취득하다	47
몰려들다	47
추산하다	47
둘러보다	47
규제하다	46
취업하다	46
감사하다	46
신중하다	46
경계하다	46
조율하다	46
투명하다	46
들여오다	46
격려하다	46
부치다	46
부추기다	46
신속하다	46
고소하다	46
실종되다	46
관찰하다	46
대답하다	46
유입되다	46
넘겨받다	46
소집하다	46
소통하다	46
감시하다	46
푸르다	46
권유하다	46
담기다	46
기각하다	46
매다	46
미안하다	46
운행하다	45
붇다	45
대립하다	45
도약하다	45
선전하다	45
접수하다	45
바르다	45
물러서다	45
집행하다	45
커다랗다	45
연락하다	45
축소하다	45
폐쇄하다	45
가리키다	45
제공되다	45
거듭나다	45
방송하다	45
제의하다	45
확충하다	45
차별화되다	45
넘나들다	45
관람하다	45
되풀이하다	45
되살다	45
평가되다	45
해치다	45
완공되다	45
섭취하다	45
생산되다	44
선출하다	44
운용하다	44
감상하다	44
슬프다	44
토로하다	44
까다롭다	44
양보하다	44
위축되다	44
적응하다	44
충당하다	44
일관하다	44
상대하다	44
재확인하다	44
빼앗다	44
파고들다	44
급감하다	44
축소되다	44
느리다	44
선임하다	44
성폭행하다	44
수색하다	44
부각되다	44
그러다	43
응시하다	43
되돌리다	43
잃어버리다	43
생겨나다	43
거르다	43
일정하다	43
단행하다	43
노래하다	43
지향하다	43
비롯되다	43
한정되다	43
찌르다	43
정당하다	43
서명하다	43
후원하다	43
개정되다	43
위로하다	43
입원하다	43
달아나다	43
누비다	42
반성하다	42
준비되다	42
거래하다	42
겨루다	42
치닫다	42
얹다	42
압도하다	42
신뢰하다	42
꾀하다	42
아우르다	42
처분하다	42
납득하다	42
모호하다	42
완료하다	42
강경하다	42
읽히다	42
급락하다	42
연잇다	42
철거하다	42
참다	42
전개하다	42
출근하다	42
파악되다	42
어우러지다	41
복용하다	41
일컫다	41
발간하다	41
가늠하다	41
고집하다	41
개방하다	41
곤란하다	41
기증하다	41
보고되다	41
휩싸이다	41
떨치다	41
상실하다	41
예쁘다	41
따돌리다	41
명백하다	41
주춤하다	41
이어가	41
성공시키다	41
잘못되다	41
부활하다	41
어쩌다	41
담아내다	41
출국하다	41
양성하다	41
집권하다	41
심화되다	41
폭발하다	41
보존하다	40
지급되다	40
맞이하다	40
획득하다	40
생생하다	40
폭행하다	40
지속하다	40
꺼지다	40
근거하다	40
뭉치다	40
빼내다	40
협박하다	40
철수하다	40
채우다	40
만지다	40
벌어들이다	40
건너가다	40
반응하다	40
번역하다	40
틀리다	40
시원하다	39
통화하다	39
진지하다	39
고조되다	39
세다	39
달려가다	39
급하다	39
수주하다	39
정교하다	39
발달하다	39
안내하다	39
빠져들다	39
닥치다	39
기대다	39
넘겨주다	39
해제하다	39
불어나다	39
답답하다	39
점치다	39
흘러가다	39
특정하다	39
일치하다	39
달래다	39
밀려나다	39
바치다	39
깔끔하다	39
지도하다	39
향상되다	38
방지하다	38
갈다	38
각별하다	38
휘말리다	38
소요되다	38
가정하다	38
우세하다	38
차갑다	38
몰아치다	38
트다	38
반납하다	38
판단되다	38
참배하다	38
토론하다	38
걸맞다	38
가로막다	38
완료되다	38
선임되다	38
공언하다	38
편리하다	38
들리다	38
기원하다	38
신다	38
소외되다	38
진화하다	38
보내오다	38
방치하다	38
점령하다	38
건드리다	37
지불하다	37
번갈다	37
공급되다	37
유행하다	37
교환하다	37
숙다	37
미흡하다	37
흩다	37
팽팽하다	37
시인하다	37
찢다	37
개편하다	37
젖다	37
자살하다	37
회수하다	37
기도하다	37
칭찬하다	37
행동하다	37
채취하다	37
담그다	37
일축하다	37
발탁되다	37
몰두하다	37
전환되다	37
입단하다	37
허용되다	37
제압하다	36
싫어하다	36
치우다	36
충족하다	36
주되다	36
꽂다	36
남다르다	36
신설되다	36
풀리다	36
접속하다	36
집계하다	36
제시되다	36
조달하다	36
밑돌다	36
맞대다	36
물리치다	36
제정하다	36
제출되다	36
방송되다	36
눈부시다	36
적잖다	36
몰리다	36
개최되다	36
일구다	36
인접하다	36
배포하다	35
광범위하다	35
탈당하다	35
동원되다	35
자세하다	35
규정되다	35
헤어지다	35
빼앗기다	35
인하다	35
소속되다	35
상상하다	35
새다	35
솔직하다	35
역설하다	35
망가지다	35
파헤치다	35
전담하다	35
침몰하다	35
묵다	35
전개되다	35
검증하다	35
마르다	35
편입되다	35
깨끗하다	35
잠들다	35
포착되다	35
봐주다	35
수렴하다	34
명시되다	34
저조하다	34
착공하다	34
왜곡하다	34
반기다	34
춥다	34
떠넘기다	34
내정되다	34
왜곡되다	34
불구하다	34
재현하다	34
꺾이다	34
부합하다	34
갇히다	34
감축하다	34
한하다	34
결성하다	34
할인하다	34
거스르다	34
꿇다	34
평하다	34
빗대다	34
끼우다	34
지원	34
잘못하다	33
분리되다	33
요구되다	33
무책임하다	33
자랑스럽다	33
입국하다	33
빼놓다	33
취급하다	33
부끄럽다	33
투표하다	33
부과되다	33
활성화되다	33
속출하다	33
쏟아붓다	33
끄다	33
선사하다	33
소지	33
날카롭다	33
폭넓다	33
장식하다	33
흡수하다	33
집어넣다	33
책정하다	33
살아오다	33
극대화하다	33
용납하다	33
참고하다	33
살리다	33
연계되다	33
달아오르다	33
인상되다	33
쫓겨나다	33
감행하다	33
거래되다	33
어색하다	33
안하	33
뜯다	33
빠져나오다	32
훈련하다	32
가세하다	32
막강하다	32
침묵하다	32
선도하다	32
전후하다	32
저장하다	32
녹음하다	32
규명하다	32
끔찍하다	32
납부하다	32
상영되다	32
출간하다	32
겸하다	32
마주치다	32
돌려받다	32
끌어가다	32
저항하다	32
떠안다	32
구르다	32
축하하다	32
쫓기다	32
방대하다	32
목격하다	32
모여들다	32
매달리다	32
가능	32
개통되다	31
제정되다	31
주어지다	31
감다	31
집착하다	31
딛다	31
특이하다	31
공존하다	31
변화하다	31
회피하다	31
보도되다	31
발급하다	31
자리잡	31
닫히다	31
곁들이다	31
천명하다	31
소박하다	31
교육하다	31
실행하다	31
단속하다	31
용인하다	31
개통하다	31
드나들다	31
파다	31
든든하다	31
몸담다	31
다녀가다	31
선고되다	31
아쉬워하다	31
재개되다	31
친하다	31
꾸준하다	31
수습하다	31
지원받다	31
방영되다	31
심사하다	30
엄중하다	30
긴밀하다	30
이러하다	30
줍다	30
해소되다	30
높이다	30
부각시키다	30
희생되다	30
선명하다	30
의무화하다	30
가담하다	30
망치다	30
이혼하다	30
납품하다	30
희다	30
유용하다	30
분노하다	30
황당하다	30
탁월하다	30
기용하다	30
뻗다	30
불어넣다	30
일삼다	30
실리다	30
표기하다	30
공시하다	30
보강하다	30
연기되다	30
부실하다	30
독점하다	30
확신하다	30
두껍다	30
두르다	30
고심하다	30
숱하다	30
넘어오다	30
적발하다	30
전화하다	30
쫓다	30
폐기하다	30
메다	30
방치되다	30
파괴되다	30
횡령하다	29
꼬이다	29
공약하다	29
절박하다	29
수여하다	29
더디다	29
귀띔하다	29
간주하다	29
개척하다	29
확산시키다	29
녹다	29
뒤흔들다	29
창업하다	29
결의하다	29
부딪치다	29
조속하다	29
내려받다	29
허술하다	29
고생하다	29
지원되다	29
비기다	29
무장하다	29
수감되다	29
배다	29
손꼽히다	29
불행하다	29
연상하다	29
업다	29
건조하다	29
부임하다	29
준수하다	29
엿보다	29
불허하다	29
도모하다	29
박히다	29
정리되다	29
구경하다	29
강의하다	29
뽐내다	28
넓어지다	28
탈바꿈하다	28
얼어붙다	28
멀어지다	28
구체화하다	28
치중하다	28
얇다	28
관할하다	28
언급되다	28
퍼뜨리다	28
보류하다	28
부닥치다	28
연대하다	28
게재하다	28
입문하다	28
규탄하다	28
오르내리다	28
역임하다	28
화답하다	28
녹이다	28
옹호하다	28
급격하다	28
지연되다	28
다채롭다	28
구사하다	28
뒤따르다	28
떠돌다	28
빨갛다	28
뛰어오르다	28
주저앉다	28
기각되다	28
건지다	28
조명하다	28
안타까워하다	28
참전하다	28
되살아나다	28
선고받다	28
정착하다	28
주의하다	28
완화되다	27
반문하다	27
삭감하다	27
밀집하다	27
완공하다	27
물려받다	27
좌우하다	27
실현되다	27
일관되다	27
환산하다	27
초대하다	27
전념하다	27
삭제되다	27
이야기	27
곤두서다	27
쓰이다	27
조심하다	27
예고되다	27
덧붙다	27
뻔하다	27
설계되다	27
풀려나다	27
저지하다	27
불리다	27
곱다	27
점거하다	27
입대하다	27
불분명하다	27
건설되다	27
도망치다	27
굽다	27
단정하다	27
출자하다	27
추격하다	27
장착되다	27
맛있다	27
미묘하다	26
억제하다	26
적당하다	26
가속화하다	26
조심스럽다	26
탑승하다	26
함유되다	26
개관하다	26
직결되다	26
부응하다	26
이탈하다	26
거머쥐다	26
사귀다	26
강제하다	26
접목하다	26
밀접하다	26
촉진하다	26
망하다	26
배정되다	26
허물다	26
변경되다	26
감지되다	26
유연하다	26
굵다	26
밀어내다	26
퇴직하다	26
검토되다	26
잘나가다	26
은폐하다	26
발탁하다	26
결제하다	26
고백하다	26
보급하다	25
치밀하다	25
다가서다	25
하소연하다	25
해체하다	25
악화시키다	25
인터뷰하다	25
근접하다	25
꽂히다	25
실감하다	25
회상하다	25
착용하다	25
종사하다	25
걸어오다	25
보답하다	25
단축하다	25
본격화되다	25
헤아리다	25
연관되다	25
분별하다	25
당황하다	25
합의되다	25
불확실하다	25
합작하다	25
신고되다	25
잠그다	25
신선하다	25
따라붙다	25
덮치다	25
걱정되다	25
입장하다	25
나돌다	25
강구하다	25
관통하다	25
후퇴하다	25
복원되다	25
원활하다	25
쪼개다	25
차분하다	25
마주하다	25
의심되다	25
착각하다	25
조용하다	25
마다하다	24
퇴임하다	24
연습하다	24
앉히다	24
식다	24
타격하다	24
봉쇄하다	24
질주하다	24
날아오다	24
씌우다	24
회고하다	24
입증되다	24
동결하다	24
몰아넣다	24
조이다	24
안기다	24
선발되다	24
부서지다	24
강타하다	24
명실상부하다	24
자처하다	24
거들다	24
건립하다	24
끌어오다	24
펼쳐지다	24
단호하다	24
부러뜨리다	24
발효되다	24
튼튼하다	24
침체되다	24
성사시키다	24
구상하다	24
급급하다	24
갈아타다	24
검색하다	24
청하다	24
굶다	24
치우치다	24
운전하다	24
일어서다	24
귀하다	24
협상하다	24
썩다	24
남짓하다	24
행진하다	24
가꾸다	24
캐다	24
종료되다	24
출범시키다	24
만족스럽다	24
내몰리다	24
순수하다	24
부결되다	24
제재하다	24
분주하다	24
반갑다	24
조정되다	24
표시되다	24
허가하다	24
눈여겨보다	24
끌리다	24
출제되다	24
만만찮다	24
혼란스럽다	24
건너오다	23
기피하다	23
끼얹다	23
참신하다	23
생존하다	23
해고하다	23
적립하다	23
뒤처지다	23
열람하다	23
보관되다	23
개방되다	23
임박하다	23
붐비다	23
면담하다	23
호투하다	23
